2025-05-26 08:07:06.398 +06:00 [INF] Starting MyApp...
2025-05-26 08:07:19.239 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-26 08:07:21.127 +06:00 [INF] HTTP GET /Products/Index responded 200 in 1880.2220 ms
2025-05-26 08:07:21.170 +06:00 [INF] HTTP GET /Products/string responded 404 in 1.6747 ms
2025-05-26 08:07:21.171 +06:00 [INF] HTTP GET /Products/monitor.jpg responded 404 in 2.1618 ms
2025-05-26 08:07:21.171 +06:00 [INF] HTTP GET /Products/keyboard.jpg responded 404 in 2.2068 ms
2025-05-26 08:07:21.182 +06:00 [INF] HTTP GET /Products/string responded 404 in 0.0846 ms
2025-05-26 08:08:21 [Information] Starting MyApp...
2025-05-26 08:08:22 [Warning] Failed to determine the https port for redirect.
2025-05-26 08:08:25 [Information] HTTP "GET" "/Products/Index" responded 200 in 2473.5932 ms
2025-05-26 08:08:25 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 3.4027 ms
2025-05-26 08:08:25 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 3.4032 ms
2025-05-26 08:08:25 [Information] HTTP "GET" "/Products/string" responded 404 in 6.9161 ms
2025-05-26 08:08:25 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1886 ms
2025-05-26 08:08:44 [Information] HTTP "GET" "/Index" responded 404 in 0.4011 ms
2025-05-26 08:09:19 [Information] HTTP "GET" "/Products/Index" responded 200 in 45.3202 ms
2025-05-26 08:09:19 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.1194 ms
2025-05-26 08:09:19 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1119 ms
2025-05-26 08:09:19 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.0747 ms
2025-05-26 08:09:25 [Information] HTTP "GET" "/Products/Index" responded 200 in 83.3790 ms
2025-05-26 08:09:25 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.2159 ms
2025-05-26 08:09:25 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.1207 ms
2025-05-26 08:09:25 [Information] HTTP "GET" "/Products/string" responded 404 in 0.0470 ms
2025-05-26 08:09:52 [Information] HTTP "GET" "/Products/Index" responded 200 in 18.5828 ms
2025-05-26 08:09:52 [Information] HTTP "GET" "/Products/Index" responded 200 in 10.6943 ms
2025-05-26 08:09:52 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.0984 ms
2025-05-26 08:09:52 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.1516 ms
2025-05-26 08:09:52 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1162 ms
2025-05-26 08:10:01 [Information] HTTP "GET" "/Products/Index" responded 200 in 35.6975 ms
2025-05-26 08:10:01 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.8421 ms
2025-05-26 08:10:01 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.1009 ms
2025-05-26 08:10:01 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1221 ms
2025-05-26 08:10:01 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.0593 ms
2025-05-26 08:10:05 [Information] HTTP "GET" "/Products/Index" responded 200 in 9.2949 ms
2025-05-26 08:10:05 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.8008 ms
2025-05-26 08:10:05 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.0738 ms
2025-05-26 08:10:05 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.0440 ms
2025-05-26 08:10:05 [Information] HTTP "GET" "/Products/string" responded 404 in 0.0928 ms
2025-05-26 08:10:06 [Information] HTTP "GET" "/Products/Index" responded 200 in 12.6309 ms
2025-05-26 08:10:06 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.8894 ms
2025-05-26 08:10:07 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.0735 ms
2025-05-26 08:10:07 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.0735 ms
2025-05-26 08:10:07 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1204 ms
2025-05-26 08:13:29 [Information] HTTP "GET" "/Products/Index" responded 200 in 93.2943 ms
2025-05-26 08:13:29 [Information] HTTP "GET" "/Products/Index" responded 200 in 62.2444 ms
2025-05-26 08:13:29 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.1035 ms
2025-05-26 08:13:29 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.0712 ms
2025-05-26 08:13:29 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1596 ms
2025-05-26 08:13:50 [Information] HTTP "GET" "/Products/Index" responded 200 in 15.0404 ms
2025-05-26 08:13:50 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.5828 ms
2025-05-26 08:13:50 [Information] HTTP "GET" "/Products/string" responded 404 in 0.0826 ms
2025-05-26 08:13:50 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.0461 ms
2025-05-26 08:16:42 [Information] HTTP "GET" "/Products/Index" responded 200 in 21.3704 ms
2025-05-26 08:16:42 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.2264 ms
