2025-05-26 09:07:32.256 +06:00 [INF] Starting MyApp...
2025-05-26 09:07:35.704 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-26 09:07:37.494 +06:00 [INF] HTTP GET /Products/Index responded 200 in 1785.0838 ms
2025-05-26 09:07:37.534 +06:00 [INF] HTTP GET /css/home.css responded 404 in 2.1093 ms
2025-05-26 09:07:37.534 +06:00 [INF] HTTP GET /Products/keyboard.jpg responded 404 in 1.0297 ms
2025-05-26 09:07:37.535 +06:00 [INF] HTTP GET /Products/monitor.jpg responded 404 in 0.4751 ms
2025-05-26 09:07:37.544 +06:00 [INF] HTTP GET /Products/string responded 404 in 2.3604 ms
2025-05-26 09:09:20.182 +06:00 [INF] HTTP GET /Products/Index responded 200 in 59.5006 ms
2025-05-26 09:09:20.216 +06:00 [INF] HTTP GET /Products/monitor.jpg responded 404 in 0.3017 ms
2025-05-26 09:09:20.221 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.2175 ms
2025-05-26 09:09:20.229 +06:00 [INF] HTTP GET /Products/keyboard.jpg responded 404 in 0.1496 ms
2025-05-26 09:09:20.249 +06:00 [INF] HTTP GET /Products/string responded 404 in 0.4319 ms
2025-05-26 09:09:22.708 +06:00 [INF] HTTP GET /Products/Index responded 200 in 133.8671 ms
2025-05-26 09:09:22.731 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1418 ms
2025-05-26 09:09:22.732 +06:00 [INF] HTTP GET /Products/monitor.jpg responded 404 in 0.5758 ms
2025-05-26 09:09:22.736 +06:00 [INF] HTTP GET /Products/keyboard.jpg responded 404 in 0.1834 ms
2025-05-26 09:09:22.739 +06:00 [INF] HTTP GET /Products/string responded 404 in 0.1702 ms
2025-05-26 09:09:25.381 +06:00 [INF] HTTP GET /Products/Index responded 200 in 10.2916 ms
2025-05-26 09:09:25.404 +06:00 [INF] HTTP GET /Products/monitor.jpg responded 404 in 0.1633 ms
2025-05-26 09:09:25.404 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1172 ms
2025-05-26 09:09:25.404 +06:00 [INF] HTTP GET /Products/keyboard.jpg responded 404 in 0.0918 ms
2025-05-26 09:09:25.417 +06:00 [INF] HTTP GET /Products/string responded 404 in 0.0921 ms
2025-05-26 09:09:57 [Information] Starting MyApp...
2025-05-26 09:10:07 [Warning] Failed to determine the https port for redirect.
2025-05-26 09:10:08 [Information] HTTP "GET" "/Products/Index" responded 200 in 1220.8141 ms
2025-05-26 09:10:09 [Information] HTTP "GET" "/css/home.css" responded 404 in 1.2629 ms
2025-05-26 09:10:09 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 1.2633 ms
2025-05-26 09:10:09 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 1.2617 ms
2025-05-26 09:10:09 [Information] HTTP "GET" "/Products/string" responded 404 in 3.7889 ms
2025-05-26 09:16:02 [Information] HTTP "GET" "/Products/Index" responded 200 in 123.0637 ms
2025-05-26 09:16:02 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1517 ms
2025-05-26 09:16:02 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.1162 ms
2025-05-26 09:16:02 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.1316 ms
2025-05-26 09:16:02 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1229 ms
2025-05-26 09:16:03 [Information] HTTP "GET" "/Products/Index" responded 200 in 104.6063 ms
2025-05-26 09:16:03 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1338 ms
2025-05-26 09:16:03 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.1208 ms
2025-05-26 09:16:03 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.1147 ms
2025-05-26 09:16:03 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1118 ms
2025-05-26 09:16:03 [Information] HTTP "GET" "/placeholder.svg" responded 404 in 5.5875 ms
2025-05-26 09:16:48 [Information] HTTP "GET" "/Products/Index" responded 200 in 9.0143 ms
2025-05-26 09:16:48 [Information] HTTP "GET" "/Products/monitor.jpg" responded 404 in 0.0815 ms
2025-05-26 09:16:48 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0874 ms
2025-05-26 09:16:48 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.0465 ms
2025-05-26 09:16:48 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1345 ms
2025-05-26 09:16:48 [Information] HTTP "GET" "/placeholder.svg" responded 404 in 0.7409 ms
2025-05-26 09:16:51 [Information] HTTP "GET" "/Products/Index" responded 200 in 22.8010 ms
