2025-05-26 16:55:10.710 +06:00 [INF] Starting MyApp...
2025-05-26 16:55:28.810 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-26 16:55:28.888 +06:00 [INF] HTTP GET /Products/Index responded 404 in 67.9085 ms
2025-05-26 16:55:32.278 +06:00 [INF] HTTP GET /Products responded 404 in 2.6852 ms
2025-05-26 16:56:08.297 +06:00 [INF] HTTP GET / responded 404 in 4.2722 ms
2025-05-26 16:56:15.422 +06:00 [INF] HTTP GET /Index/Products responded 404 in 0.1002 ms
2025-05-26 16:56:19.232 +06:00 [INF] HTTP GET /Index/Products responded 404 in 0.1672 ms
2025-05-26 16:56:32.413 +06:00 [INF] HTTP GET /Index/Products responded 404 in 0.1107 ms
2025-05-26 17:01:12 [Information] Starting MyApp...
2025-05-26 17:01:23 [Warning] Failed to determine the https port for redirect.
2025-05-26 17:01:25 [Information] HTTP "GET" "/Products" responded 200 in 2562.5900 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/ssd.jpg" responded 404 in 3.1842 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/css/home.css" responded 404 in 3.2120 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/headphones.jpg" responded 404 in 3.2783 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/keyboard.jpg" responded 404 in 3.2789 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/string" responded 404 in 3.4003 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/chair.jpg" responded 404 in 6.5778 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/webcam.jpg" responded 404 in 0.3058 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/tv.jpg" responded 404 in 0.3222 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/monitor27.jpg" responded 404 in 0.2932 ms
2025-05-26 17:01:25 [Information] HTTP "GET" "/placeholder.svg" responded 404 in 9.5080 ms
