2025-05-26 17:51:49.886 +06:00 [INF] Starting MyApp...
2025-05-26 17:51:51.728 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-26 17:51:57.889 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6149.7321 ms
2025-05-26 17:51:57.937 +06:00 [INF] HTTP GET /css/home.css responded 404 in 2.5604 ms
2025-05-26 17:51:57.940 +06:00 [INF] HTTP GET /Products/headphones.jpg responded 404 in 3.3536 ms
2025-05-26 17:51:57.940 +06:00 [INF] HTTP GET /Products/chair.jpg responded 404 in 2.9283 ms
2025-05-26 17:51:57.940 +06:00 [INF] HTTP GET /Products/ssd.jpg responded 404 in 4.2022 ms
2025-05-26 17:51:57.940 +06:00 [INF] HTTP GET /Products/string responded 404 in 3.2849 ms
2025-05-26 17:51:57.940 +06:00 [INF] HTTP GET /Products/keyboard.jpg responded 404 in 3.5625 ms
2025-05-26 17:51:57.951 +06:00 [INF] HTTP GET /Products/monitor27.jpg responded 404 in 0.2057 ms
2025-05-26 17:51:57.951 +06:00 [INF] HTTP GET /Products/webcam.jpg responded 404 in 0.1969 ms
2025-05-26 17:51:57.952 +06:00 [INF] HTTP GET /Products/tv.jpg responded 404 in 0.2955 ms
2025-05-26 17:51:57.964 +06:00 [INF] HTTP GET /placeholder.svg responded 404 in 11.6164 ms
2025-05-26 17:53:41.976 +06:00 [INF] HTTP GET /Products/Index responded 200 in 53.7829 ms
2025-05-26 17:53:42.011 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1645 ms
2025-05-26 17:53:42.032 +06:00 [INF] HTTP GET /Products/ssd.jpg responded 404 in 0.1749 ms
2025-05-26 17:53:42.035 +06:00 [INF] HTTP GET /Products/headphones.jpg responded 404 in 0.1724 ms
2025-05-26 17:53:42.034 +06:00 [INF] HTTP GET /Products/keyboard.jpg responded 404 in 0.3639 ms
2025-05-26 17:53:42.037 +06:00 [INF] HTTP GET /Products/string responded 404 in 0.1883 ms
2025-05-26 17:53:42.039 +06:00 [INF] HTTP GET /Products/chair.jpg responded 404 in 0.8440 ms
2025-05-26 17:53:42.045 +06:00 [INF] HTTP GET /Products/webcam.jpg responded 404 in 0.1298 ms
2025-05-26 17:53:42.045 +06:00 [INF] HTTP GET /Products/tv.jpg responded 404 in 0.1114 ms
2025-05-26 17:53:42.046 +06:00 [INF] HTTP GET /placeholder.svg responded 404 in 0.8164 ms
2025-05-26 17:53:42.050 +06:00 [INF] HTTP GET /Products/monitor27.jpg responded 404 in 0.8204 ms
2025-05-26 17:58:47 [Information] Starting MyApp...
2025-05-26 17:59:34 [Warning] Failed to determine the https port for redirect.
2025-05-26 17:59:41 [Information] HTTP "GET" "/Products/Index" responded 200 in 6985.5996 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/Products/string" responded 404 in 4.5827 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 5.4556 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/css/home.css" responded 404 in 5.7231 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/Products/headphones.jpg" responded 404 in 6.3836 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/Products/chair.jpg" responded 404 in 8.5948 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/Products/ssd.jpg" responded 404 in 0.3568 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/Products/tv.jpg" responded 404 in 0.2288 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/Products/webcam.jpg" responded 404 in 0.1797 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/Products/monitor27.jpg" responded 404 in 0.2855 ms
2025-05-26 17:59:42 [Information] HTTP "GET" "/placeholder.svg" responded 404 in 10.3775 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/Products/Index" responded 200 in 75.2910 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1541 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.1494 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/Products/ssd.jpg" responded 404 in 0.5812 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/Products/headphones.jpg" responded 404 in 0.3001 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/Products/string" responded 404 in 0.1758 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/Products/chair.jpg" responded 404 in 0.2489 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/Products/webcam.jpg" responded 404 in 0.1264 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/Products/monitor27.jpg" responded 404 in 0.1380 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/Products/tv.jpg" responded 404 in 0.5063 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/placeholder.svg" responded 404 in 3.9315 ms
2025-05-26 18:00:00 [Information] HTTP "GET" "/favicon.ico" responded 404 in 0.1632 ms
2025-05-26 18:00:08 [Information] HTTP "GET" "/Products/Index" responded 200 in 242.5189 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.3022 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/Products/ssd.jpg" responded 404 in 0.1177 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/Products/keyboard.jpg" responded 404 in 0.1396 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/Products/string" responded 404 in 0.4171 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/Products/headphones.jpg" responded 404 in 0.4146 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/Products/webcam.jpg" responded 404 in 0.1506 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/Products/monitor27.jpg" responded 404 in 0.2061 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/Products/tv.jpg" responded 404 in 0.1397 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/Products/chair.jpg" responded 404 in 0.1619 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/placeholder.svg" responded 404 in 0.5474 ms
2025-05-26 18:00:09 [Information] HTTP "GET" "/favicon.ico" responded 404 in 0.2831 ms
2025-05-26 18:01:37 [Information] HTTP "GET" "/Products/Index" responded 200 in 323.8080 ms
