2025-05-26 23:19:44.136 +06:00 [INF] Starting MyApp...
2025-05-26 23:19:46.679 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-26 23:19:50.351 +06:00 [INF] HTTP GET /Products responded 200 in 3659.8712 ms
2025-05-26 23:19:50.425 +06:00 [INF] HTTP GET /css/home.css responded 404 in 3.9131 ms
2025-05-26 23:19:50.425 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 3.9122 ms
2025-05-26 23:19:50.824 +06:00 [INF] HTTP GET /Products responded 200 in 213.4182 ms
2025-05-26 23:20:25.597 +06:00 [INF] HTTP POST /Products responded 400 in 5.6874 ms
2025-05-26 23:20:38.221 +06:00 [INF] HTTP POST /Products responded 400 in 1.2461 ms
2025-05-26 23:20:48.689 +06:00 [INF] HTTP POST /Products responded 400 in 0.5160 ms
2025-05-26 23:22:01.519 +06:00 [INF] HTTP GET /Products responded 200 in 90.4726 ms
2025-05-26 23:22:01.577 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1185 ms
2025-05-26 23:22:01.586 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1573 ms
2025-05-26 23:22:01.606 +06:00 [INF] HTTP GET /Products responded 200 in 8.6518 ms
2025-05-26 23:22:02.854 +06:00 [INF] HTTP GET /Products responded 200 in 21.6238 ms
2025-05-26 23:22:02.878 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0761 ms
2025-05-26 23:22:02.884 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1163 ms
2025-05-26 23:22:02.898 +06:00 [INF] HTTP GET /Products responded 200 in 8.6580 ms
2025-05-26 23:22:10.557 +06:00 [INF] HTTP POST /Products responded 400 in 0.4515 ms
2025-05-26 23:22:23.161 +06:00 [INF] HTTP POST /Products responded 400 in 0.2743 ms
2025-05-26 23:22:34.540 +06:00 [INF] HTTP POST /Products responded 400 in 0.3349 ms
2025-05-26 23:23:11 [Information] Starting MyApp...
2025-05-26 23:23:17 [Warning] Failed to determine the https port for redirect.
2025-05-26 23:23:22 [Information] HTTP "GET" "/Products" responded 200 in 5260.8642 ms
2025-05-26 23:23:22 [Information] HTTP "GET" "/css/home.css" responded 404 in 1.7836 ms
2025-05-26 23:23:22 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 1.7873 ms
2025-05-26 23:23:23 [Information] HTTP "GET" "/Products" responded 200 in 113.2750 ms
2025-05-26 23:23:33 [Information] HTTP "POST" "/Products" responded 400 in 4.4151 ms
2025-05-26 23:24:33 [Information] HTTP "GET" "/api/Carts" responded 200 in 243.7550 ms
2025-05-26 23:27:29 [Information] HTTP "GET" "/Products" responded 200 in 36.6729 ms
2025-05-26 23:27:30 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1553 ms
2025-05-26 23:27:30 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1377 ms
2025-05-26 23:27:30 [Information] HTTP "GET" "/Products" responded 200 in 8.1723 ms
2025-05-26 23:27:42 [Information] HTTP "GET" "/Products" responded 200 in 12.4686 ms
2025-05-26 23:27:42 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1386 ms
2025-05-26 23:27:42 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.3661 ms
2025-05-26 23:27:42 [Information] HTTP "GET" "/Products" responded 200 in 9.5189 ms
2025-05-26 23:27:54 [Information] HTTP "POST" "/Products" responded 400 in 1.8620 ms
2025-05-26 23:28:26 [Information] HTTP "GET" "/Products" responded 200 in 81.1181 ms
2025-05-26 23:28:27 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1055 ms
2025-05-26 23:28:27 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1120 ms
2025-05-26 23:28:27 [Information] HTTP "GET" "/Products" responded 200 in 5.9056 ms
2025-05-26 23:28:49 [Information] HTTP "GET" "/Products" responded 200 in 27.7157 ms
2025-05-26 23:28:49 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1556 ms
2025-05-26 23:28:49 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1618 ms
2025-05-26 23:28:49 [Information] HTTP "GET" "/Products" responded 200 in 28.8345 ms
2025-05-26 23:29:15 [Information] HTTP "POST" "/Products" responded 400 in 0.7848 ms
