2025-05-27 00:04:25.718 +06:00 [INF] HTTP GET /Products responded 200 in 266.5364 ms
2025-05-27 00:04:25.718 +06:00 [INF] HTTP GET /Products/Index responded 200 in 266.5489 ms
2025-05-27 00:04:25.806 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0697 ms
2025-05-27 00:04:25.810 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0715 ms
2025-05-27 00:04:25.840 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.3578 ms
2025-05-27 00:04:25.850 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1495 ms
2025-05-27 00:04:25.884 +06:00 [INF] HTTP GET /Products/Index responded 200 in 10.3177 ms
2025-05-27 00:04:25.884 +06:00 [INF] HTTP GET /Products responded 200 in 7.5183 ms
2025-05-27 00:04:30.559 +06:00 [INF] HTTP GET /Products/Index responded 200 in 9.4779 ms
2025-05-27 00:04:30.594 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0713 ms
2025-05-27 00:04:30.596 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.4288 ms
2025-05-27 00:04:30.620 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.3750 ms
2025-05-27 00:04:32.041 +06:00 [INF] HTTP GET /Products/Index responded 200 in 12.3395 ms
2025-05-27 00:04:32.045 +06:00 [INF] HTTP GET /Products responded 200 in 13.4269 ms
2025-05-27 00:04:32.084 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0690 ms
2025-05-27 00:04:32.085 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.8200 ms
2025-05-27 00:04:32.088 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0637 ms
2025-05-27 00:04:32.089 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0746 ms
2025-05-27 00:04:32.094 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.8492 ms
2025-05-27 00:04:32.101 +06:00 [INF] HTTP GET /Products responded 200 in 2.7966 ms
2025-05-27 00:04:33.682 +06:00 [INF] HTTP POST /api/Carts responded 201 in 44.0959 ms
2025-05-27 00:04:44.040 +06:00 [INF] HTTP POST /api/Carts responded 201 in 12.2106 ms
2025-05-27 00:04:52.486 +06:00 [INF] HTTP POST /api/Carts responded 400 in 8.7276 ms
2025-05-27 00:05:18.624 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.4982 ms
2025-05-27 00:05:18.648 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0411 ms
2025-05-27 00:05:18.649 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0405 ms
2025-05-27 00:05:18.657 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.0253 ms
2025-05-27 00:10:27.773 +06:00 [INF] HTTP GET /Products/Index responded 200 in 271.4764 ms
2025-05-27 00:10:27.808 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0536 ms
2025-05-27 00:10:27.850 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0922 ms
2025-05-27 00:10:27.910 +06:00 [INF] HTTP GET /Products/Index responded 200 in 31.3505 ms
2025-05-27 00:12:17.683 +06:00 [INF] HTTP GET /Products/Index responded 200 in 27.2044 ms
2025-05-27 00:12:17.683 +06:00 [INF] HTTP GET /Products/Index responded 200 in 33.8422 ms
2025-05-27 00:12:17.714 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0656 ms
2025-05-27 00:12:17.732 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0524 ms
2025-05-27 00:12:17.748 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.7624 ms
2025-05-27 00:12:26.466 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.0725 ms
2025-05-27 00:12:26.468 +06:00 [INF] HTTP GET /Products/Index responded 200 in 1.8507 ms
2025-05-27 00:12:26.482 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0590 ms
2025-05-27 00:12:26.485 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0778 ms
2025-05-27 00:12:26.495 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.3843 ms
2025-05-27 00:12:54.962 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.7391 ms
2025-05-27 00:12:54.967 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.2725 ms
2025-05-27 00:12:54.985 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0704 ms
2025-05-27 00:12:54.988 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0471 ms
2025-05-27 00:12:55.017 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.4627 ms
2025-05-27 00:12:55.063 +06:00 [INF] HTTP GET /api/Carts responded 200 in 47.9931 ms
2025-05-27 00:13:00.179 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.9677 ms
2025-05-27 00:13:00.212 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0502 ms
2025-05-27 00:13:00.219 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1298 ms
2025-05-27 00:13:00.243 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.6431 ms
2025-05-27 00:13:00.307 +06:00 [INF] HTTP GET /api/Carts responded 200 in 67.8143 ms
2025-05-27 00:13:03.282 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.5253 ms
2025-05-27 00:13:03.309 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0752 ms
2025-05-27 00:13:03.313 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1133 ms
2025-05-27 00:13:03.328 +06:00 [INF] HTTP GET /api/Carts responded 200 in 1.8082 ms
2025-05-27 00:13:03.329 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.5824 ms
2025-05-27 00:13:03.696 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.0519 ms
2025-05-27 00:15:01 [Information] Starting MyApp...
2025-05-27 00:18:08 [Warning] Failed to determine the https port for redirect.
2025-05-27 00:18:10 [Information] HTTP "GET" "/Products/Index" responded 200 in 2381.4715 ms
2025-05-27 00:18:10 [Information] HTTP "GET" "/css/home.css" responded 404 in 1.5172 ms
2025-05-27 00:18:10 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 2.5448 ms
2025-05-27 00:18:10 [Information] HTTP "GET" "/Products/Index" responded 200 in 120.2411 ms
2025-05-27 00:18:10 [Information] HTTP "GET" "/api/Carts" responded 200 in 165.0202 ms
2025-05-27 00:18:15 [Information] HTTP "GET" "/api/Carts" responded 200 in 73.3989 ms
2025-05-27 00:18:15 [Information] HTTP "POST" "/api/Carts" responded 400 in 138.1405 ms
2025-05-27 00:18:23 [Information] HTTP "GET" "/Products/Index" responded 200 in 14.2931 ms
2025-05-27 00:18:23 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1051 ms
2025-05-27 00:18:23 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1373 ms
2025-05-27 00:18:23 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.7367 ms
2025-05-27 00:18:23 [Information] HTTP "GET" "/Products/Index" responded 200 in 65.4048 ms
2025-05-27 00:18:25 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.8551 ms
2025-05-27 00:18:25 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0979 ms
2025-05-27 00:18:25 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0842 ms
2025-05-27 00:18:25 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.9980 ms
2025-05-27 00:18:25 [Information] HTTP "GET" "/api/Carts" responded 200 in 6.1863 ms
2025-05-27 00:19:16 [Information] HTTP "GET" "/.well-known/appspecific/com.chrome.devtools.json" responded 404 in 0.1386 ms
2025-05-27 00:19:16 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0630 ms
2025-05-27 00:19:22 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.1884 ms
2025-05-27 00:19:22 [Information] HTTP "GET" "/.well-known/appspecific/com.chrome.devtools.json" responded 404 in 0.1183 ms
2025-05-27 00:19:22 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1960 ms
2025-05-27 00:19:22 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0710 ms
2025-05-27 00:19:22 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.8725 ms
2025-05-27 00:19:22 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.4845 ms
2025-05-27 00:20:05 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.7417 ms
2025-05-27 00:20:05 [Information] HTTP "POST" "/api/Carts" responded 400 in 6.9873 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/Products" responded 200 in 18.0968 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.6941 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/Products" responded 200 in 5.0359 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.4954 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/.well-known/appspecific/com.chrome.devtools.json" responded 404 in 0.1473 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1523 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1433 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1514 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1884 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.3600 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/Products" responded 200 in 4.9049 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.1404 ms
2025-05-27 00:20:17 [Information] HTTP "GET" "/api/Carts" responded 200 in 4.3977 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/Products" responded 200 in 7.3015 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.0280 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/Products" responded 200 in 4.2456 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.2630 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/.well-known/appspecific/com.chrome.devtools.json" responded 404 in 0.1343 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0906 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1196 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1401 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1188 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.2261 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/Products" responded 200 in 4.8911 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.4394 ms
2025-05-27 00:20:21 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.6808 ms
2025-05-27 00:21:10 [Information] HTTP "GET" "/api/Carts" responded 200 in 30.5980 ms
2025-05-27 00:21:34 [Information] HTTP "GET" "/Products" responded 200 in 7.4876 ms
2025-05-27 00:21:34 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.1788 ms
2025-05-27 00:21:34 [Information] HTTP "GET" "/Products" responded 200 in 8.9696 ms
2025-05-27 00:21:34 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.0734 ms
2025-05-27 00:21:34 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0783 ms
2025-05-27 00:21:34 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1062 ms
2025-05-27 00:21:34 [Information] HTTP "GET" "/.well-known/appspecific/com.chrome.devtools.json" responded 404 in 0.1174 ms
