2025-05-29 00:29:37.800 +06:00 [INF] Starting MyApp...
2025-05-29 00:36:01.956 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-29 00:36:02.922 +06:00 [INF] HTTP GET /Products/Index responded 200 in 958.7668 ms
2025-05-29 00:36:02.950 +06:00 [INF] HTTP GET /css/home.css responded 404 in 1.2490 ms
2025-05-29 00:36:02.959 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 2.9606 ms
2025-05-29 00:36:03.160 +06:00 [INF] HTTP GET /Products/Index responded 200 in 179.6077 ms
2025-05-29 00:36:03.179 +06:00 [INF] HTTP GET /api/Carts responded 200 in 199.3270 ms
2025-05-29 00:36:09.564 +06:00 [INF] HTTP GET /Products/Index responded 200 in 36.8007 ms
2025-05-29 00:36:09.895 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.6991 ms
2025-05-29 00:36:19.063 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.2429 ms
2025-05-29 00:56:26.739 +06:00 [INF] HTTP GET /Products/Index responded 200 in 279.1360 ms
2025-05-29 00:56:26.739 +06:00 [INF] HTTP GET /Products/Index responded 200 in 337.7193 ms
2025-05-29 00:56:26.822 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1610 ms
2025-05-29 00:56:26.860 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.4322 ms
2025-05-29 00:56:26.908 +06:00 [INF] HTTP GET /Products/Index responded 200 in 13.0832 ms
2025-05-29 00:56:26.917 +06:00 [INF] HTTP GET /api/Carts responded 200 in 18.1541 ms
2025-05-29 00:56:57.241 +06:00 [INF] HTTP GET /Products/Index responded 200 in 12.5781 ms
2025-05-29 00:56:57.261 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1157 ms
2025-05-29 00:56:57.269 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1551 ms
2025-05-29 00:56:57.290 +06:00 [INF] HTTP GET /Products/Index responded 200 in 8.5166 ms
2025-05-29 00:56:57.290 +06:00 [INF] HTTP GET /api/Carts responded 200 in 8.6706 ms
2025-05-29 00:57:21.670 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.5628 ms
2025-05-29 00:57:21.688 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1694 ms
2025-05-29 00:57:21.690 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1038 ms
2025-05-29 00:57:21.703 +06:00 [INF] HTTP GET /api/Carts responded 200 in 2.5449 ms
2025-05-29 00:57:21.706 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.6142 ms
2025-05-29 00:58:09.687 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.7970 ms
2025-05-29 00:58:09.713 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1483 ms
2025-05-29 00:58:09.718 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1664 ms
2025-05-29 00:58:09.751 +06:00 [INF] HTTP GET /api/Carts responded 200 in 3.1392 ms
2025-05-29 00:58:09.753 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.6920 ms
2025-05-29 00:58:47.986 +06:00 [INF] HTTP GET /Products/Index responded 200 in 12.0240 ms
2025-05-29 00:58:48.027 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1702 ms
2025-05-29 00:58:48.043 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1308 ms
2025-05-29 00:58:48.084 +06:00 [INF] HTTP GET /api/Carts responded 200 in 6.3905 ms
2025-05-29 00:58:48.087 +06:00 [INF] HTTP GET /Products/Index responded 200 in 9.8152 ms
2025-05-29 00:59:10.544 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.3051 ms
2025-05-29 00:59:10.561 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0894 ms
2025-05-29 00:59:10.564 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1705 ms
2025-05-29 00:59:10.577 +06:00 [INF] HTTP GET /api/Carts responded 200 in 1.8602 ms
2025-05-29 00:59:10.579 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.2678 ms
2025-05-29 00:59:39.211 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.8047 ms
2025-05-29 00:59:39.237 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0764 ms
2025-05-29 00:59:39.247 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1405 ms
2025-05-29 00:59:39.252 +06:00 [INF] HTTP GET /api/Carts responded 200 in 2.4636 ms
2025-05-29 00:59:39.254 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.0868 ms
2025-05-29 01:00:13.083 +06:00 [INF] HTTP GET /Products/Index responded 200 in 14.0953 ms
2025-05-29 01:00:13.112 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0659 ms
2025-05-29 01:00:13.124 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.2122 ms
2025-05-29 01:00:13.165 +06:00 [INF] HTTP GET /api/Carts responded 200 in 2.4641 ms
2025-05-29 01:00:13.170 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.3312 ms
2025-05-29 01:00:34.198 +06:00 [INF] HTTP GET /Products/Index responded 200 in 10.7182 ms
2025-05-29 01:00:34.255 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1131 ms
2025-05-29 01:00:34.262 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1311 ms
2025-05-29 01:00:34.303 +06:00 [INF] HTTP GET /api/Carts responded 200 in 2.5958 ms
2025-05-29 01:00:34.305 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.5509 ms
2025-05-29 01:01:25 [Information] Starting MyApp...
2025-05-29 01:02:29 [Warning] Failed to determine the https port for redirect.
2025-05-29 01:02:29 [Information] HTTP "GET" "/Products/Index" responded 200 in 492.2037 ms
2025-05-29 01:02:29 [Information] HTTP "GET" "/css/home.css" responded 404 in 1.7539 ms
2025-05-29 01:02:29 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 2.1102 ms
2025-05-29 01:02:29 [Information] HTTP "GET" "/Products/Index" responded 200 in 147.8042 ms
2025-05-29 01:02:29 [Information] HTTP "GET" "/api/Carts" responded 200 in 167.1606 ms
2025-05-29 01:02:34 [Information] HTTP "GET" "/Products/Index" responded 200 in 16.6744 ms
2025-05-29 01:02:35 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.3984 ms
2025-05-29 01:08:52 [Information] HTTP "GET" "/Products/Index" responded 200 in 66.9753 ms
2025-05-29 01:08:52 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1228 ms
2025-05-29 01:08:52 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1152 ms
2025-05-29 01:08:52 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.2101 ms
2025-05-29 01:08:52 [Information] HTTP "GET" "/api/Carts" responded 200 in 63.9890 ms
2025-05-29 01:08:59 [Information] HTTP "GET" "/Products/Index" responded 200 in 11.3295 ms
2025-05-29 01:08:59 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.2728 ms
2025-05-29 01:08:59 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0975 ms
2025-05-29 01:08:59 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.5115 ms
2025-05-29 01:08:59 [Information] HTTP "GET" "/api/Carts" responded 200 in 4.6729 ms
2025-05-29 01:09:00 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.7937 ms
2025-05-29 01:09:00 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1029 ms
2025-05-29 01:09:00 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0806 ms
2025-05-29 01:09:00 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.4105 ms
2025-05-29 01:09:00 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.5856 ms
2025-05-29 01:09:31 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.8622 ms
2025-05-29 01:09:31 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1003 ms
2025-05-29 01:09:31 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1190 ms
2025-05-29 01:09:31 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.1235 ms
2025-05-29 01:09:31 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.9252 ms
2025-05-29 01:09:51 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.9224 ms
2025-05-29 01:09:51 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1134 ms
2025-05-29 01:09:51 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0880 ms
2025-05-29 01:09:51 [Information] HTTP "GET" "/api/Carts" responded 200 in 1.8498 ms
2025-05-29 01:09:51 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.4306 ms
2025-05-29 01:27:29 [Information] HTTP "GET" "/Products/Index" responded 200 in 92.6398 ms
2025-05-29 01:27:29 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1504 ms
2025-05-29 01:27:29 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1451 ms
2025-05-29 01:27:29 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.9039 ms
2025-05-29 01:27:29 [Information] HTTP "GET" "/api/Carts" responded 200 in 71.0565 ms
2025-05-29 01:28:37 [Information] HTTP "GET" "/Products/Index" responded 200 in 15.3570 ms
2025-05-29 01:28:37 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0795 ms
2025-05-29 01:28:37 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1484 ms
2025-05-29 01:28:37 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.4168 ms
2025-05-29 01:28:37 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.0434 ms
2025-05-29 01:28:38 [Information] HTTP "GET" "/Products/Index" responded 200 in 27.6734 ms
2025-05-29 01:28:38 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0883 ms
2025-05-29 01:28:38 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0972 ms
2025-05-29 01:28:38 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.3242 ms
2025-05-29 01:28:38 [Information] HTTP "GET" "/api/Carts" responded 200 in 5.8437 ms
2025-05-29 01:31:18 [Information] HTTP "GET" "/Products/Index" responded 200 in 12.6558 ms
2025-05-29 01:31:18 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1043 ms
2025-05-29 01:31:18 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.3145 ms
2025-05-29 01:31:18 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.9583 ms
2025-05-29 01:31:18 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.4129 ms
2025-05-29 01:31:22 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.8315 ms
2025-05-29 01:31:22 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1496 ms
2025-05-29 01:31:22 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0705 ms
2025-05-29 01:31:22 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.7482 ms
2025-05-29 01:31:22 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.0541 ms
2025-05-29 01:31:54 [Information] HTTP "GET" "/Products/Index" responded 200 in 13.0012 ms
2025-05-29 01:31:54 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0685 ms
2025-05-29 01:31:54 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0960 ms
