2025-05-29 03:00:12.985 +06:00 [INF] Starting MyApp...
2025-05-29 03:00:16.438 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-29 03:00:17.469 +06:00 [INF] HTTP GET /Products/Index responded 200 in 1023.5971 ms
2025-05-29 03:00:17.510 +06:00 [INF] HTTP GET /css/home.css responded 404 in 2.0926 ms
2025-05-29 03:00:17.528 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 4.2250 ms
2025-05-29 03:00:19.591 +06:00 [INF] HTTP GET /Products/Index responded 200 in 68.3909 ms
2025-05-29 03:00:19.613 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1185 ms
2025-05-29 03:00:19.614 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1741 ms
2025-05-29 03:00:53.773 +06:00 [INF] HTTP GET /Products/Index responded 200 in 19.7766 ms
2025-05-29 03:00:53.807 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1890 ms
2025-05-29 03:00:53.807 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1582 ms
2025-05-29 03:00:54.553 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.1167 ms
2025-05-29 03:01:16.834 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.8383 ms
2025-05-29 03:01:16.865 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1087 ms
2025-05-29 03:01:16.872 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1109 ms
2025-05-29 03:01:18.489 +06:00 [INF] HTTP GET /Products/Index responded 200 in 24.1674 ms
2025-05-29 03:01:18.505 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.9202 ms
2025-05-29 03:01:18.524 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0842 ms
2025-05-29 03:01:18.529 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1081 ms
2025-05-29 03:08:16.445 +06:00 [INF] HTTP GET /Products/Index responded 200 in 112.3309 ms
2025-05-29 03:08:16.445 +06:00 [INF] HTTP GET /Products/Index responded 200 in 106.9151 ms
2025-05-29 03:08:16.478 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1727 ms
2025-05-29 03:08:16.490 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1791 ms
2025-05-29 03:08:26.797 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.4787 ms
2025-05-29 03:08:26.803 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.4252 ms
2025-05-29 03:08:26.819 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0907 ms
2025-05-29 03:08:26.827 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.2131 ms
2025-05-29 03:08:39.366 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.3250 ms
2025-05-29 03:08:39.370 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.2693 ms
2025-05-29 03:08:39.389 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0879 ms
2025-05-29 03:08:39.398 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1101 ms
2025-05-29 03:08:53.547 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.3157 ms
2025-05-29 03:08:53.555 +06:00 [INF] HTTP GET /Products/Index responded 200 in 8.4931 ms
2025-05-29 03:08:53.574 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.2132 ms
2025-05-29 03:08:53.583 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.2310 ms
2025-05-29 03:09:26 [Information] Starting MyApp...
2025-05-29 03:09:30 [Warning] Failed to determine the https port for redirect.
2025-05-29 03:09:31 [Information] HTTP "GET" "/Products/Index" responded 200 in 507.3238 ms
2025-05-29 03:09:31 [Information] HTTP "GET" "/css/home.css" responded 404 in 1.7374 ms
2025-05-29 03:09:31 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 2.6876 ms
2025-05-29 03:09:31 [Information] HTTP "GET" "/favicon.ico" responded 404 in 0.3861 ms
2025-05-29 03:11:10 [Information] HTTP "GET" "/Products/Index" responded 200 in 93.5353 ms
2025-05-29 03:11:10 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0747 ms
2025-05-29 03:11:10 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1133 ms
2025-05-29 03:13:07 [Information] HTTP "GET" "/Products/Index" responded 200 in 16.7083 ms
2025-05-29 03:13:07 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1483 ms
2025-05-29 03:13:07 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1362 ms
2025-05-29 03:13:15 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.4945 ms
2025-05-29 03:13:15 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0676 ms
2025-05-29 03:13:15 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0698 ms
2025-05-29 03:13:16 [Information] HTTP "GET" "/favicon.ico" responded 404 in 0.1250 ms
2025-05-29 03:15:41 [Information] HTTP "GET" "/Products/Index" responded 200 in 75.3236 ms
2025-05-29 03:15:41 [Information] HTTP "GET" "/Products/Index" responded 200 in 163.8450 ms
2025-05-29 03:15:41 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1002 ms
2025-05-29 03:15:41 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1092 ms
2025-05-29 03:26:42 [Information] HTTP "GET" "/Products/Index" responded 200 in 77.1635 ms
2025-05-29 03:26:42 [Information] HTTP "GET" "/Products/Index" responded 200 in 75.3636 ms
2025-05-29 03:26:42 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1030 ms
2025-05-29 03:26:42 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0911 ms
2025-05-29 03:26:56 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.2475 ms
2025-05-29 03:26:56 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.7043 ms
2025-05-29 03:26:56 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1191 ms
2025-05-29 03:26:56 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1361 ms
2025-05-29 03:27:34 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.5927 ms
2025-05-29 03:27:34 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.3200 ms
2025-05-29 03:27:34 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1030 ms
2025-05-29 03:27:34 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.3924 ms
2025-05-29 03:27:48 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.0277 ms
2025-05-29 03:27:48 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.3613 ms
2025-05-29 03:27:48 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.4038 ms
2025-05-29 03:27:48 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1155 ms
2025-05-29 03:28:05 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.3552 ms
2025-05-29 03:28:05 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.8865 ms
2025-05-29 03:28:05 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0665 ms
