2025-05-29 03:54:40.518 +06:00 [INF] Starting MyApp...
2025-05-29 03:54:48.483 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-29 03:54:48.924 +06:00 [INF] HTTP GET /Products/Index responded 200 in 436.9454 ms
2025-05-29 03:54:48.951 +06:00 [INF] HTTP GET /css/home.css responded 404 in 1.4094 ms
2025-05-29 03:54:48.960 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 3.5027 ms
2025-05-29 03:54:49.171 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.0969 ms
2025-05-29 03:55:32.130 +06:00 [INF] HTTP GET /Products/Index responded 200 in 91.5573 ms
2025-05-29 03:55:32.149 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1454 ms
2025-05-29 03:55:32.150 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1218 ms
2025-05-29 03:55:32.530 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.4108 ms
2025-05-29 03:55:33.697 +06:00 [INF] HTTP GET /Products/Index responded 200 in 14.3563 ms
2025-05-29 03:55:33.718 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0800 ms
2025-05-29 03:55:33.723 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1100 ms
2025-05-29 03:55:34.557 +06:00 [INF] HTTP GET /Products/Index responded 200 in 21.9074 ms
2025-05-29 03:55:34.578 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1022 ms
2025-05-29 03:55:34.579 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1272 ms
2025-05-29 03:55:34.698 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.1222 ms
2025-05-29 03:55:34.712 +06:00 [INF] HTTP GET /Products/Index responded 200 in 111.6411 ms
2025-05-29 03:55:34.758 +06:00 [INF] HTTP GET /api/Carts responded 200 in 157.4558 ms
2025-05-29 03:55:48.814 +06:00 [INF] HTTP GET /Products/Index responded 200 in 9.2229 ms
2025-05-29 03:55:48.840 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1168 ms
2025-05-29 03:55:48.849 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.4068 ms
2025-05-29 03:55:48.864 +06:00 [INF] HTTP GET /api/Carts responded 200 in 10.1323 ms
2025-05-29 03:55:48.931 +06:00 [INF] HTTP GET /Products/Index responded 200 in 77.7876 ms
2025-05-29 03:55:59.330 +06:00 [INF] HTTP GET /Products/Index responded 200 in 15.5815 ms
2025-05-29 03:55:59.353 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0617 ms
2025-05-29 03:55:59.360 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1242 ms
2025-05-29 03:56:43.948 +06:00 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 0.2237 ms
2025-05-29 03:56:43.951 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1588 ms
2025-05-29 04:03:44.430 +06:00 [INF] HTTP GET /Products/Index responded 200 in 55.3228 ms
2025-05-29 04:03:44.457 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1510 ms
