2025-05-29 04:49:57.560 +06:00 [INF] Starting MyApp...
2025-05-29 04:50:02.529 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-29 04:50:03.963 +06:00 [INF] HTTP GET /Products/Index responded 200 in 1424.3187 ms
2025-05-29 04:50:04.011 +06:00 [INF] HTTP GET /css/home.css responded 404 in 3.9653 ms
2025-05-29 04:50:04.385 +06:00 [INF] HTTP GET /Products/Index responded 200 in 344.0089 ms
2025-05-29 04:50:04.410 +06:00 [INF] HTTP GET /api/Carts responded 200 in 368.8412 ms
2025-05-29 04:50:10.340 +06:00 [INF] HTTP GET /Products/Index responded 200 in 58.5847 ms
2025-05-29 04:50:30.018 +06:00 [INF] HTTP GET /Products/Index responded 200 in 10.6387 ms
2025-05-29 04:50:30.037 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1697 ms
2025-05-29 04:50:30.061 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.1522 ms
2025-05-29 04:50:30.165 +06:00 [INF] HTTP GET /api/Carts responded 200 in 109.6027 ms
2025-05-29 04:50:33.385 +06:00 [INF] HTTP GET /Products/Index responded 200 in 25.6601 ms
2025-05-29 04:50:33.405 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0660 ms
2025-05-29 04:50:33.429 +06:00 [INF] HTTP GET /Products/Index responded 200 in 10.7659 ms
2025-05-29 04:50:33.434 +06:00 [INF] HTTP GET /api/Carts responded 200 in 12.3715 ms
2025-05-29 04:50:36.475 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.5276 ms
2025-05-29 04:57:16.696 +06:00 [INF] HTTP GET /Products/Index responded 200 in 55.7931 ms
2025-05-29 04:57:16.719 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0956 ms
2025-05-29 04:57:16.752 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.8779 ms
2025-05-29 04:57:16.805 +06:00 [INF] HTTP GET /api/Carts responded 200 in 55.5733 ms
2025-05-29 04:57:17.017 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.1148 ms
2025-05-29 04:57:40 [Information] Starting MyApp...
2025-05-29 04:57:43 [Warning] Failed to determine the https port for redirect.
2025-05-29 04:57:45 [Information] HTTP "GET" "/Products/Index" responded 200 in 1114.4294 ms
2025-05-29 04:57:45 [Information] HTTP "GET" "/css/home.css" responded 404 in 3.9947 ms
2025-05-29 04:57:45 [Information] HTTP "GET" "/Products/Index" responded 200 in 449.7619 ms
2025-05-29 04:57:45 [Information] HTTP "GET" "/api/Carts" responded 200 in 455.5027 ms
2025-05-29 04:58:55 [Information] HTTP "GET" "/Products/Index" responded 200 in 23.6035 ms
2025-05-29 04:58:55 [Information] HTTP "GET" "/css/home.css" responded 404 in 1.3001 ms
2025-05-29 04:58:55 [Information] HTTP "GET" "/Products/Index" responded 200 in 22.8952 ms
2025-05-29 04:58:55 [Information] HTTP "GET" "/api/Carts" responded 200 in 117.6396 ms
2025-05-29 04:59:14 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.2389 ms
2025-05-29 04:59:14 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1275 ms
2025-05-29 04:59:14 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.8702 ms
2025-05-29 04:59:14 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.6676 ms
2025-05-29 04:59:20 [Information] HTTP "GET" "/Products/Index" responded 200 in 42.4869 ms
2025-05-29 04:59:20 [Information] HTTP "GET" "/api/Carts" responded 200 in 25.8153 ms
2025-05-29 04:59:20 [Information] HTTP "GET" "/Products/Index" responded 200 in 27.3020 ms
2025-05-29 04:59:38 [Information] HTTP "GET" "/Products/Index" responded 200 in 11.5949 ms
2025-05-29 04:59:38 [Information] HTTP "GET" "/api/Carts" responded 200 in 4.0103 ms
2025-05-29 04:59:38 [Information] HTTP "GET" "/Products/Index" responded 200 in 10.6944 ms
2025-05-29 04:59:39 [Information] HTTP "GET" "/Products/Index" responded 200 in 11.1724 ms
2025-05-29 04:59:39 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.2079 ms
2025-05-29 04:59:39 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.9389 ms
2025-05-29 04:59:49 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.8461 ms
2025-05-29 04:59:49 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.5029 ms
2025-05-29 04:59:49 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.6560 ms
2025-05-29 04:59:49 [Information] HTTP "GET" "/favicon.ico" responded 404 in 0.1358 ms
2025-05-29 05:00:29 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.5725 ms
2025-05-29 05:00:29 [Information] HTTP "GET" "/api/Carts" responded 200 in 1.8630 ms
2025-05-29 05:00:29 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.9854 ms
2025-05-29 05:01:07 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.8566 ms
2025-05-29 05:01:07 [Information] HTTP "GET" "/Products/Index" responded 200 in 17.3164 ms
2025-05-29 05:01:07 [Information] HTTP "GET" "/api/Carts" responded 200 in 17.2891 ms
2025-05-29 05:01:20 [Information] HTTP "GET" "/Products/Index" responded 200 in 30.4221 ms
2025-05-29 05:01:20 [Information] HTTP "GET" "/Products/Index" responded 200 in 37.5937 ms
2025-05-29 05:01:20 [Information] HTTP "GET" "/Products/Index" responded 200 in 15.3640 ms
2025-05-29 05:01:20 [Information] HTTP "GET" "/api/Carts" responded 200 in 21.5939 ms
2025-05-29 05:01:24 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.7597 ms
2025-05-29 05:01:24 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.0121 ms
2025-05-29 05:01:24 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.9136 ms
2025-05-29 05:01:25 [Information] HTTP "GET" "/favicon.ico" responded 404 in 0.1416 ms
2025-05-29 05:01:29 [Information] HTTP "POST" "/api/Carts" responded 400 in 97.7074 ms
2025-05-29 05:01:38 [Information] HTTP "POST" "/api/Carts" responded 201 in 145.7388 ms
2025-05-29 05:01:42 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.0815 ms
2025-05-29 05:02:08 [Information] HTTP "GET" "/Products/Index" responded 200 in 11.8232 ms
2025-05-29 05:02:09 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.1512 ms
2025-05-29 05:02:14 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.7797 ms
2025-05-29 05:02:17 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.5742 ms
2025-05-29 05:02:21 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.2509 ms
2025-05-29 05:02:28 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.9552 ms
2025-05-29 05:02:47 [Information] HTTP "POST" "/api/Products" responded 400 in 39.1674 ms
2025-05-29 05:03:04 [Information] HTTP "POST" "/api/Products" responded 201 in 2302.6271 ms
2025-05-29 05:03:04 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.7522 ms
2025-05-29 05:03:10 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.3373 ms
2025-05-29 05:03:10 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.4323 ms
2025-05-29 05:03:10 [Information] HTTP "GET" "/api/Carts" responded 200 in 7.2057 ms
2025-05-29 05:03:16 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.8354 ms
2025-05-29 05:03:16 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.7006 ms
2025-05-29 05:03:16 [Information] HTTP "GET" "/api/Carts" responded 200 in 75.0425 ms
