2025-05-29 05:57:54.672 +06:00 [INF] Starting MyApp...
2025-05-29 05:57:55.369 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-29 05:57:56.646 +06:00 [INF] HTTP GET /Products/Index responded 200 in 1266.5387 ms
2025-05-29 05:57:57.063 +06:00 [INF] HTTP GET /Products/Index responded 200 in 323.6850 ms
2025-05-29 05:57:57.089 +06:00 [INF] HTTP GET /api/Carts responded 200 in 350.0399 ms
2025-05-29 05:58:06.660 +06:00 [INF] HTTP GET /Products/Index responded 200 in 21.7675 ms
2025-05-29 05:58:06.687 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.5339 ms
2025-05-29 05:58:06.878 +06:00 [INF] HTTP GET /api/Carts responded 200 in 195.6731 ms
2025-05-29 06:00:54.715 +06:00 [INF] HTTP GET /Products/Index responded 200 in 13.0007 ms
2025-05-29 06:00:54.765 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.8569 ms
2025-05-29 06:00:54.765 +06:00 [INF] HTTP GET /api/Carts responded 200 in 5.9092 ms
2025-05-29 06:00:56.712 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.0670 ms
2025-05-29 06:00:56.752 +06:00 [INF] HTTP GET /api/Carts responded 200 in 3.2022 ms
2025-05-29 06:00:56.754 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.9472 ms
2025-05-29 06:01:07.979 +06:00 [INF] HTTP GET /Products/Index responded 200 in 19.3135 ms
2025-05-29 06:01:08.048 +06:00 [INF] HTTP GET /Products/Index responded 200 in 9.6950 ms
2025-05-29 06:01:08.048 +06:00 [INF] HTTP GET /api/Carts responded 200 in 9.4329 ms
2025-05-29 06:01:08.877 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.1220 ms
2025-05-29 06:01:26.704 +06:00 [INF] HTTP GET /Products/Index responded 200 in 9.1544 ms
2025-05-29 06:01:26.749 +06:00 [INF] HTTP GET /Products/Index responded 200 in 10.6460 ms
2025-05-29 06:01:26.749 +06:00 [INF] HTTP GET /api/Carts responded 200 in 9.8551 ms
2025-05-29 12:48:44 [Information] Starting MyApp...
2025-05-29 12:48:51 [Warning] Failed to determine the https port for redirect.
2025-05-29 12:48:52 [Information] HTTP "GET" "/Products/Index" responded 200 in 975.9713 ms
2025-05-29 12:48:52 [Information] HTTP "GET" "/Products/Index" responded 200 in 299.7518 ms
2025-05-29 12:48:52 [Information] HTTP "GET" "/api/Carts" responded 200 in 322.1090 ms
2025-05-29 12:48:59 [Information] HTTP "POST" "/api/Carts" responded 201 in 327.9948 ms
2025-05-29 12:49:02 [Information] HTTP "GET" "/api/Carts" responded 200 in 6.6103 ms
2025-05-29 12:49:11 [Information] HTTP "GET" "/Products/Index" responded 200 in 19.6058 ms
2025-05-29 12:49:11 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.8354 ms
2025-05-29 12:49:11 [Information] HTTP "GET" "/api/Carts" responded 200 in 158.3349 ms
2025-05-29 12:49:37 [Information] HTTP "GET" "/Products/Index" responded 200 in 53.8958 ms
2025-05-29 12:49:38 [Information] HTTP "GET" "/api/Carts" responded 200 in 6.3536 ms
2025-05-29 12:49:38 [Information] HTTP "GET" "/Products/Index" responded 200 in 12.1893 ms
2025-05-29 12:49:51 [Information] HTTP "GET" "/Products/Index" responded 200 in 11.6254 ms
2025-05-29 12:49:51 [Information] HTTP "GET" "/api/Carts" responded 200 in 4.3298 ms
2025-05-29 12:49:51 [Information] HTTP "GET" "/Products/Index" responded 200 in 11.0648 ms
2025-05-29 12:49:57 [Information] HTTP "GET" "/Products/Index" responded 200 in 10.8023 ms
2025-05-29 12:49:57 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.6888 ms
2025-05-29 12:49:57 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.2569 ms
2025-05-29 12:50:00 [Information] HTTP "POST" "/api/Carts" responded 400 in 17.5822 ms
2025-05-29 12:50:33 [Information] HTTP "GET" "/Products/Index" responded 200 in 9.2199 ms
2025-05-29 12:50:33 [Information] HTTP "GET" "/Products/Index" responded 200 in 10.2291 ms
2025-05-29 12:50:34 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.6167 ms
2025-05-29 12:50:34 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.4534 ms
