2025-05-29 13:02:58.012 +06:00 [INF] Starting MyApp...
2025-05-29 13:04:05.312 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-29 13:04:06.895 +06:00 [INF] HTTP GET /Products/Index responded 200 in 1570.5142 ms
2025-05-29 13:04:07.358 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 6.5547 ms
2025-05-29 13:04:07.425 +06:00 [INF] HTTP GET /Products/Index responded 200 in 404.3659 ms
2025-05-29 13:04:07.492 +06:00 [INF] HTTP GET /api/Carts responded 200 in 464.6307 ms
2025-05-29 13:04:08.994 +06:00 [INF] HTTP GET /Products/Index responded 200 in 56.6805 ms
2025-05-29 13:04:09.075 +06:00 [INF] HTTP GET /Products/Index responded 200 in 21.0769 ms
2025-05-29 13:04:09.084 +06:00 [INF] HTTP GET /api/Carts responded 200 in 29.2823 ms
2025-05-29 13:04:11.225 +06:00 [INF] HTTP GET /Products/Index responded 200 in 36.9022 ms
2025-05-29 13:04:11.330 +06:00 [INF] HTTP GET /Products/Index responded 200 in 16.2355 ms
2025-05-29 13:04:11.343 +06:00 [INF] HTTP GET /api/Carts responded 200 in 29.1774 ms
2025-05-29 13:04:11.410 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.1524 ms
2025-05-29 13:05:40 [Information] Starting MyApp...
2025-05-29 13:05:43 [Warning] Failed to determine the https port for redirect.
2025-05-29 13:05:44 [Information] HTTP "GET" "/Products/Index" responded 200 in 1014.6054 ms
2025-05-29 13:05:45 [Information] HTTP "GET" "/Products/Index" responded 200 in 219.0838 ms
2025-05-29 13:05:45 [Information] HTTP "GET" "/api/Carts" responded 200 in 242.2458 ms
2025-05-29 13:06:18 [Information] HTTP "GET" "/Products/Index" responded 200 in 15.5028 ms
2025-05-29 13:06:18 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.6704 ms
2025-05-29 13:06:18 [Information] HTTP "GET" "/api/Carts" responded 200 in 62.3542 ms
2025-05-29 13:06:19 [Information] HTTP "GET" "/favicon.ico" responded 404 in 0.1605 ms
2025-05-29 13:27:16 [Information] HTTP "GET" "/favicon.ico" responded 404 in 3.7993 ms
2025-05-29 13:27:20 [Information] HTTP "GET" "/.well-known/appspecific/com.chrome.devtools.json" responded 404 in 0.2202 ms
2025-05-29 13:29:50 [Information] HTTP "GET" "/Products/Index" responded 200 in 326.8365 ms
2025-05-29 13:29:50 [Information] HTTP "GET" "/.well-known/appspecific/com.chrome.devtools.json" responded 404 in 0.0954 ms
2025-05-29 13:29:50 [Information] HTTP "GET" "/Products/Index" responded 200 in 11.1033 ms
2025-05-29 13:29:50 [Information] HTTP "GET" "/api/Carts" responded 200 in 83.2524 ms
2025-05-29 13:29:54 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.0513 ms
2025-05-29 13:29:54 [Information] HTTP "GET" "/.well-known/appspecific/com.chrome.devtools.json" responded 404 in 0.2457 ms
2025-05-29 13:29:54 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.7245 ms
2025-05-29 13:29:54 [Information] HTTP "GET" "/api/Carts" responded 200 in 12.5488 ms
2025-05-29 13:29:55 [Information] HTTP "GET" "/Products/Index" responded 200 in 28.4180 ms
